OBJECTID,lagoslakei,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,437,6396,5756400.000000000000000,150.000000000000000,41593.000000000000000,41443.000000000000000,19536.723264540338000,9350.463713073073400,124956882.000000000000000
2,444,1529,1376100.000000000000000,150.000000000000000,19231.000000000000000,19081.000000000000000,9252.553302812295400,5840.247674419721100,14147154.000000000000000
3,448,12073,10865700.000000000000000,150.000000000000000,17116.000000000000000,16966.000000000000000,7373.040089455810600,3852.250403520462000,89014713.000000000000000
4,449,30676,27608400.000000000000000,150.000000000000000,17583.000000000000000,17433.000000000000000,7824.730668926848000,3989.107246477712100,240031438.000000000000000
5,473,14345,12910500.000000000000000,150.000000000000000,15409.000000000000000,15259.000000000000000,4455.933705123736200,3176.243011247844600,63920369.000000000000000
6,480,154,138600.000000000000000,2225.000000000000000,6248.000000000000000,4023.000000000000000,4255.253246753246500,1135.385749207046700,655309.000000000000000
7,481,8676,7808400.000000000000000,150.000000000000000,24031.000000000000000,23881.000000000000000,14379.483287229137000,5453.523782535270600,124756397.000000000000000
8,484,4436,3992400.000000000000000,150.000000000000000,12661.000000000000000,12511.000000000000000,5323.136158701532600,2676.478096463268700,23613432.000000000000000
9,487,14581,13122900.000000000000000,150.000000000000000,21138.000000000000000,20988.000000000000000,11708.313764488032000,4628.417194838707500,170718923.000000000000000
10,492,18,16200.000000000000000,19275.000000000000000,21252.000000000000000,1977.000000000000000,20365.388888888891000,546.896104178273730,366577.000000000000000
11,501,3317,2985300.000000000000000,9423.000000000000000,25304.000000000000000,15881.000000000000000,19390.620741634008000,2628.737555717260000,64318689.000000000000000
12,528,20136,18122400.000000000000000,150.000000000000000,21648.000000000000000,21498.000000000000000,10275.651122367899000,5458.402677226807100,206910511.000000000000000
13,536,53209,47888100.000000000000000,150.000000000000000,29610.000000000000000,29460.000000000000000,7429.035445131462400,5572.913833097065400,395291547.000000000000000
14,541,21764,19587600.000000000000000,150.000000000000000,24022.000000000000000,23872.000000000000000,13387.211312258776000,5793.706273193289200,291359267.000000000000000
15,547,2787,2508300.000000000000000,438.000000000000000,18032.000000000000000,17594.000000000000000,10855.109436670255000,3474.321638445495000,30253190.000000000000000
16,548,1002,901800.000000000000000,14550.000000000000000,20371.000000000000000,5821.000000000000000,17500.862275449101000,1128.379080051302500,17535864.000000000000000
17,575,26550,23895000.000000000000000,150.000000000000000,16589.000000000000000,16439.000000000000000,6506.339661016949300,3940.271673164221700,172743318.000000000000000
18,577,450,405000.000000000000000,150.000000000000000,14886.000000000000000,14736.000000000000000,5927.040000000000000,3715.650377429083600,2667168.000000000000000
19,597,32782,29503800.000000000000000,150.000000000000000,24274.000000000000000,24124.000000000000000,9191.391342810078600,6334.702815252188000,301312191.000000000000000
20,602,122842,110557800.000000000000000,150.000000000000000,23306.000000000000000,23156.000000000000000,9257.351809641653700,5537.922166226931900,1137191611.000000000000000
21,608,7535,6781500.000000000000000,150.000000000000000,19805.000000000000000,19655.000000000000000,8918.615792966158600,4605.878360115246300,67201770.000000000000000
22,613,29456,26510400.000000000000000,150.000000000000000,41841.000000000000000,41691.000000000000000,15765.880499728408000,9044.425080470053200,464399776.000000000000000
23,615,1889,1700100.000000000000000,8097.000000000000000,19633.000000000000000,11536.000000000000000,15265.697194282689000,2051.793080788399500,28836902.000000000000000
24,617,31895,28705500.000000000000000,150.000000000000000,23752.000000000000000,23602.000000000000000,10662.867471390500000,5239.358491265298700,340092158.000000000000000
