"","lagoslakeid","FullLakeArea_ha","FullLakePerimeter_km","FullLakeEdgeArea_ha","AvgFullLakeShapeIndex","FullLakeCoreArea_ha","AvgFullLakeCoreAreaIndex","nLakePatches","BuffArea_ha","EdgeLengthInBuff_km","EdgeAreaInBuff_ha","EdgeAreaInBuff_pct","BufferWidth_m"
"1","23961",0,0,0,NA,0,NA,0,1450.43578922812,0,0,0,2000
"2","13395",26.91,4.56,12.51,3.15555555555556,72000,0.488270547945206,2,1423.47983421687,3.6607,10.9821,0.0077149670378308,2000
"3","95676",52.47,9.84,27.18,4.44444444444444,126450,0.473343488194974,2,1432.71544434525,7.1098,21.3294,0.0148873944817057,2000
"4","79105",9.63,3.24,7.74,3.49166666666667,9450,0.194035087719298,2,1453.78556470815,2.6379,7.9137,0.0054435125730449,2000
"5","120460",38.43,12.3,28.98,9.59002825268038,23625,0.208604046818993,4,1491.24796125589,7.9098,23.7294,0.0159124442188781,2000
"6","40665",4.86,1.26,3.24,1.4,16200,0.333333333333333,1,1441.79563887549,1.0317,3.0951,0.00214669812874035,2000
"7","69665",112.68,19.92,53.64,11.1365636313005,98400,0.480766822600486,6,1775.11413033884,12.6369,37.9107,0.0213567676309148,2000
"8","48996",133.74,23.34,61.2,14.2220548842061,90675,0.455361869804346,8,1511.46071570379,15.9564,47.8692,0.0316708198252513,2000
"9","106955",16.29,3.12,8.19,2.68449197860962,40500,0.477290473711608,2,1662.87693518006,2.5125,7.5375,0.00453280687255657,2000
"10","48001",138.33,9.24,26.55,3.02930402930403,558900,0.588635686624963,2,1514.14279672482,4.6298,13.8894,0.00917311103684777,2000
"11","136062",1885.5,149.88,417.15,27.6323836344367,1223625,0.641344481388221,12,1531.74519184142,35.6628,106.9884,0.0698473875223211,2000
"12","58327",0,0,0,NA,0,NA,0,1438.71345818498,0,0,0,2000
"13","66629",9.72,2.7,6.57,3,15750,0.324074074074074,2,1635.48095587309,1.0987,3.2961,0.00201537045611173,2000
"14","77982",117.72,24.9,63.36,19.0316738415316,49418.1818181818,0.413300900192763,11,1643.49863912403,21.378,64.134,0.0390228494707991,2000
"15","3676",36.54,9.96,23.85,5.38257575757576,63450,0.408842421757551,2,5543.64178730109,2.9388,8.8164,0.00159036249784318,2000
"16","115176",113.04,13.02,37.26,5.95357388754303,189450,0.6430339683892,4,1898.94862314897,5.6555,16.9665,0.00893468090351226,2000
"17","129864",141.12,26.16,68.04,12.7936658241271,121800,0.441889618250611,6,1777.13451368402,10.8999,32.6997,0.0184002391198926,2000
"18","15428",98.1,9.96,27.9,4.92174205105239,234000,0.582126532826867,3,1506.64611850401,5.6267,16.8801,0.0112037589933599,2000
"19","125738",0,0,0,NA,0,NA,0,1488.21278829233,0,0,0,2000
"20","138158",181.71,19.68,54.72,9.05814536340851,253980,0.501419836713406,5,1506.44365703122,10.4703,31.4109,0.0208510287479999,2000
"21","30151",186.39,14.76,42.66,5.19154295996401,479100,0.606108254767772,3,1393.92637764263,5.1146,15.3438,0.0110076114822857,2000
"22","130903",107.73,10.98,28.26,4.66984126984127,264900,0.625777443844671,3,1762.61915223372,9.4707,28.4121,0.0161192506980275,2000
"23","124666",78.3,21.42,48.69,15.9943911161303,42300,0.312020126077656,7,1640.60873904186,15.1203,45.3609,0.0276488226111068,2000
"24","18578",350.46,50.34,140.13,22.0923309752022,191209.090909091,0.427246408978883,11,1475.85450514537,22.7128,68.1384,0.0461687786719115,2000
"25","2381",124.65,22.26,59.22,15.3321614906523,72700,0.395189743494604,9,1715.28193958086,14.027,42.081,0.0245329931068257,2000
"26","27073",111.42,19.14,50.67,12.5504767492868,86785.7142857143,0.45850448656752,7,1491.04607114523,13.7616,41.2848,0.0276884804560669,2000
"27","110017",125.46,23.58,61.02,16.269267826494,71600,0.438270301429804,9,1460.92647651766,19.8747,59.6241,0.0408125261321315,2000
"28","88500",9.18,2.22,5.67,1.76190476190476,35100,0.382352941176471,1,1476.90517560633,1.902,5.706,0.00386348432806964,2000
"29","21783",6.84,1.86,4.77,1.72222222222222,20700,0.302631578947368,1,1590.26199604823,1.5077,4.5231,0.00284424831332184,2000
"30","39595",38.16,9.78,25.11,7.92613636363636,32625,0.31536537755644,4,1434.26047197546,6.2956,18.8868,0.0131683194015565,2000
"31","134047",8.82,1.68,4.59,1.4,42300,0.479591836734694,1,1596.37057517215,1.4514,4.3542,0.00272756217617607,2000
"32","27074",33.39,10.98,24.75,9.6513377764899,21600,0.202229862251414,4,1515.39114886063,9.3714,28.1142,0.0185524377789445,2000
"33","24995",532.71,35.46,103.23,6.45351182835136,1431600,0.794725318670867,3,1779.62707695437,18.7965,56.3895,0.0316861328590843,2000
"34","13397",107.37,17.64,48.78,9.68789437124089,117180,0.421563020852624,5,1445.81928571642,12.3586,37.0758,0.0256434537609785,2000
"35","96687",170.64,26.22,70.83,11.2790910556246,166350,0.520910202691351,6,1551.99344633172,9.4873,28.4619,0.0183389305330331,2000
"36","30153",0,0,0,NA,0,NA,0,1394.6186579377,0,0,0,2000
"37","92619",29.88,5.88,16.02,3.6965811965812,69300,0.464276633613018,2,1437.89863918582,3.0922,9.2766,0.00645149786444802,2000
"38","20705",169.83,27.06,74.43,14.7555659690777,119250,0.420973955567014,8,1414.35750104745,17.7637,53.2911,0.0376786632520656,2000
"39","116243",101.97,16.08,43.47,9.0053634085213,117000,0.504073173510683,5,1707.57398313935,11.2634,33.7902,0.0197884251772666,2000
"40","131945",700.11,57.72,163.26,18.0585827164678,596500,0.578935767864047,9,1440.82836382133,29.5122,88.5366,0.0614484016438888,2000
"41","103852",474.57,49.8,142.83,12.9799378710261,552900,0.600726864936167,6,1470.56358993225,14.7116,44.1348,0.0300121669692864,2000
"42","114108",51.75,12.78,30.33,8.97748917748917,53550,0.370418901825293,4,1833.33362718917,9.4669,28.4007,0.0154912884260697,2000
"43","24996",17.91,4.32,11.34,4.30701754385965,21900,0.35823754789272,3,1705.70086706641,3.2069,9.6207,0.00564032075363038,2000
"44","85341",22.05,6.48,15.48,6.61503267973856,16425,0.2978329075344,4,1543.16378665462,4.6118,13.8354,0.00896560696903946,2000
"45","82187",0,0,0,NA,0,NA,0,1564.33986945134,0,0,0,2000
"46","31221",360.09,16.92,46.71,5.0640243902439,1044600,0.576985091788976,3,1558.82691624402,7.5755,22.7265,0.014579232474866,2000
"47","137036",9.99,3.48,8.19,3.70833333333333,9000,0.193137254901961,2,1539.61747133671,3.5199,10.5597,0.00685865170835714,2000
"48","86387",0,0,0,NA,0,NA,0,1430.66040369163,0,0,0,2000
"49","134046",0,0,0,NA,0,NA,0,1469.71612191771,0,0,0,2000
"50","136060",4.95,1.14,2.97,1.26666666666667,19800,0.4,1,1719.32321829502,0.9539,2.8617,0.00166443398748365,2000
"51","9254",17.73,2.7,7.47,1.55172413793103,102600,0.578680203045685,1,1565.60301878524,2.1702,6.5106,0.00415852545113999,2000
"52","96688",0,0,0,NA,0,NA,0,1571.81377535938,0,0,0,2000
"53","2311",17.55,3.72,9.54,3.18181818181818,40050,0.413333333333333,2,3164.56966422764,3.0112,9.0336,0.00285460614190801,2000
"54","135073",0,0,0,NA,0,NA,0,1452.06602009556,0,0,0,2000
"55","56247",120.06,12.78,34.11,3.90966386554622,429750,0.679013033307341,2,1470.92808847777,2.8051,8.4153,0.00572108185703951,2000
"56","111079",82.8,17.4,45,12.5033426368953,54000,0.416949616004173,7,1452.69237958264,12.7417,38.2251,0.0263132790790725,2000
"57","14451",122.67,27.3,66.15,18.620463873782,62800,0.390483108265254,9,1619.2673185046,21.4191,64.2573,0.0396829475069884,2000
"58","70690",0,0,0,NA,0,NA,0,1434.05820546396,0,0,0,2000
"59","41775",160.38,11.94,35.01,3.27677459526775,626850,0.771873378308251,2,1718.02383911213,4.0469,12.1407,0.00706666562105115,2000
"60","24997",99.27,16.02,38.79,7.64773863068466,201600,0.453103405164575,3,1570.9444347394,7.9837,23.9511,0.0152463062794282,2000
"61","55233",0,0,0,NA,0,NA,0,1646.01899658204,0,0,0,2000
"62","132975",0,0,0,NA,0,NA,0,1470.70482418724,0,0,0,2000
"63","130902",160.47,19.2,50.58,9.51542912246865,219780,0.504886965718528,5,1499.29681982814,14.4562,43.3686,0.0289259601077332,2000
"64","1800",53.73,8.1,21.42,5.776758886666,80775,0.498230503330629,4,1630.43452327712,5.9927,17.9781,0.0110265697538498,2000
"65","137035",376.38,31.56,89.55,11.8458269329237,409757.142857143,0.552947883882522,7,1585.97150863562,13.0704,39.2112,0.0247237732749264,2000
"66","130901",350.82,50.16,139.23,22.9137096234357,176325,0.415756496863134,12,1505.44700910155,20.3443,61.0329,0.0405413804876628,2000
"67","56248",146.52,15.18,42.21,9.11381167851757,173850,0.446118142929019,6,1638.75408343663,10.9449,32.8347,0.0200363802793048,2000
"68","15429",1603.08,134.16,370.98,24.2880765078715,1232100,0.612457584877386,10,1739.73689521855,52.3376,157.0128,0.0902508881840293,2000
"69","120463",73.62,10.26,28.62,5.02023809523809,150000,0.593790594306744,3,1484.28998176024,4.6166,13.8498,0.00933092601189379,2000
"70","95677",19.98,3.42,9.18,2.65647058823529,54000,0.53,2,1671.8882508564,3.0174,9.0522,0.0054143570871816,2000
"71","102781",7.29,1.74,4.41,1.61111111111111,28800,0.395061728395062,1,1534.29604936597,1.4991,4.4973,0.00293118137262913,2000
"72","76933",18.99,3.9,9.81,3.34666666666667,45900,0.391762672811059,2,1428.42367256864,3.4733,10.4199,0.0072946844833946,2000
"73","64568",69.12,10.14,28.44,6.26160990712074,101700,0.472964040945659,4,1511.72191779074,7.7474,23.2422,0.0153746530538941,2000
"74","40666",43.29,7.38,20.16,4.79040404040404,77100,0.50727177668667,3,1473.38232985913,6.1573,18.4719,0.0125370717604345,2000
"75","10325",0,0,0,NA,0,NA,0,1510.70545318226,0,0,0,2000
"76","76934",61.29,13.98,34.2,11.9330144009522,38700,0.392338606629333,7,1503.19170239676,10.5825,31.7475,0.0211200607010937,2000
"77","69667",134.82,20.94,55.17,7.55635120979513,265500,0.527838606621233,3,1428.44256415941,7.2536,21.7608,0.0152339341783795,2000
"78","132974",26.1,6.12,15.93,5.01489686783804,33900,0.396818864030768,3,1718.65244266356,2.9415,8.8245,0.00513454598553027,2000
"79","21785",13.05,2.7,7.02,2.56578947368421,30150,0.459406713505074,2,1568.15877224824,2.1696,6.5088,0.00415060012747845,2000
"80","73773",34.02,8.16,20.7,6.94408369408369,33300,0.359412275592573,4,1449.00109801565,3.3566,10.0698,0.00694947713551784,2000
"81","89558",4.86,1.74,4.59,1.93333333333333,2700,0.0555555555555556,1,1490.27925440443,1.547,4.641,0.00311418144370179,2000
"82","77984",8.55,1.62,4.5,1.35,40500,0.473684210526316,1,1444.80153705889,1.3857,4.1571,0.00287728099214402,2000
"83","141168",49.68,4.74,13.14,1.68085106382979,365400,0.735507246376812,1,1522.91983561215,3.5717,10.7151,0.00703589233617997,2000
"84","71683",299.7,26.22,71.82,9.00700280112045,569700,0.473005885280942,4,1513.18836215378,12.8447,38.5341,0.0254655011654683,2000
"85","98785",14.58,2.94,7.92,1.88461538461538,66600,0.45679012345679,1,1627.62299349046,2.564,7.692,0.00472591013444973,2000
"86","15430",171.45,19.62,55.71,7.18244139761168,289350,0.532428271041853,4,1431.22315316569,13.6095,40.8285,0.0285269979804983,2000
"87","37482",754.2,66.72,185.85,9.13358444783026,1894500,0.593598023907536,3,1850.1772364341,7.5499,22.6497,0.0122419082636934,2000
"88","46961",337.86,41.46,117.99,12.251930969688,366450,0.548576241609679,6,1408.72448262556,17.1389,51.4167,0.0364987622733512,2000
"89","39600",16.38,3.66,9.27,3.79999999999999,23700,0.425769230769231,3,1451.89386276491,2.924,8.772,0.00604176395049638,2000
"90","58328",0,0,0,NA,0,NA,0,2177.36923651639,0,0,0,2000
"91","83254",175.32,19.92,53.1,8.05379675539671,305550,0.56875144611471,4,1450.63972312501,6.0341,18.1023,0.0124788393089109,2000
"92","43856",7.29,2.7,5.22,2.5,20700,0.283950617283951,1,1959.14138872995,2.1599,6.4797,0.00330741825846505,2000
"93","64569",22.14,6.3,14.85,6.60999373433585,18225,0.316127403705385,4,1569.85460292215,4.2601,12.7803,0.00814107241282765,2000
