"","State","nLakes","Strict_ctr","Multi_ctr","Strict_Cat100","Multi_Cat100","Unprotected"
"1","Alabama",6951,"75 (0.01)","85 (0.01)","20 (0)","14 (0)","6791 (0.98)"
"2","Arizona",574,"41 (0.07)","117 (0.2)","16 (0.03)","59 (0.1)","416 (0.72)"
"3","Arkansas",5443,"462 (0.08)","19 (0)","190 (0.03)","3 (0)","4962 (0.91)"
"4","California",5874,"2343 (0.4)","891 (0.15)","1577 (0.27)","235 (0.04)","2640 (0.45)"
"5","Colorado",4135,"901 (0.22)","922 (0.22)","575 (0.14)","424 (0.1)","2312 (0.56)"
"6","Connecticut",1875,"77 (0.04)","110 (0.06)","2 (0)","16 (0.01)","1688 (0.9)"
"7","Delaware",373,"124 (0.33)","47 (0.13)","63 (0.17)","8 (0.02)","202 (0.54)"
"8","Florida",16870,"1821 (0.11)","1782 (0.11)","947 (0.06)","736 (0.04)","13267 (0.79)"
"9","Georgia",11502,"238 (0.02)","66 (0.01)","66 (0.01)","12 (0)","11198 (0.97)"
"10","Idaho",2003,"600 (0.3)","770 (0.38)","414 (0.21)","441 (0.22)","633 (0.32)"
"11","Illinois",6790,"554 (0.08)","145 (0.02)","161 (0.02)","23 (0)","6091 (0.9)"
"12","Indiana",5168,"259 (0.05)","49 (0.01)","42 (0.01)","5 (0)","4860 (0.94)"
"13","Iowa",4255,"471 (0.11)","62 (0.01)","91 (0.02)","5 (0)","3722 (0.87)"
"14","Kansas",8338,"178 (0.02)","34 (0)","63 (0.01)","0 (0)","8126 (0.97)"
"15","Kentucky",2189,"118 (0.05)","42 (0.02)","47 (0.02)","7 (0)","2029 (0.93)"
"16","Louisiana",11496,"1005 (0.09)","446 (0.04)","562 (0.05)","220 (0.02)","10045 (0.87)"
"17","Maine",4199,"256 (0.06)","155 (0.04)","91 (0.02)","59 (0.01)","3788 (0.9)"
"18","Maryland",989,"163 (0.16)","131 (0.13)","85 (0.09)","42 (0.04)","695 (0.7)"
"19","Massachusetts",3077,"212 (0.07)","463 (0.15)","24 (0.01)","33 (0.01)","2402 (0.78)"
"20","Michigan",11673,"1358 (0.12)","1284 (0.11)","517 (0.04)","354 (0.03)","9031 (0.77)"
"21","Minnesota",23113,"3864 (0.17)","4468 (0.19)","1683 (0.07)","2226 (0.1)","14781 (0.64)"
"22","Mississippi",9264,"359 (0.04)","60 (0.01)","133 (0.01)","11 (0)","8845 (0.95)"
"23","Missouri",6173,"338 (0.05)","21 (0)","69 (0.01)","10 (0)","5814 (0.94)"
"24","Montana",9205,"1547 (0.17)","1959 (0.21)","967 (0.11)","850 (0.09)","5699 (0.62)"
"25","Nebraska",4560,"197 (0.04)","85 (0.02)","27 (0.01)","15 (0)","4278 (0.94)"
"26","Nevada",555,"121 (0.22)","100 (0.18)","54 (0.1)","40 (0.07)","334 (0.6)"
"27","New Hampshire",1631,"66 (0.04)","233 (0.14)","12 (0.01)","57 (0.03)","1332 (0.82)"
"28","New Jersey",2040,"376 (0.18)","297 (0.15)","107 (0.05)","59 (0.03)","1367 (0.67)"
"29","New Mexico",888,"43 (0.05)","107 (0.12)","16 (0.02)","41 (0.05)","738 (0.83)"
"30","New York",7247,"463 (0.06)","421 (0.06)","77 (0.01)","107 (0.01)","6363 (0.88)"
"31","North Carolina",6124,"143 (0.02)","177 (0.03)","64 (0.01)","21 (0)","5804 (0.95)"
"32","North Dakota",9895,"1085 (0.11)","314 (0.03)","114 (0.01)","34 (0)","8496 (0.86)"
"33","Ohio",4609,"225 (0.05)","309 (0.07)","26 (0.01)","40 (0.01)","4075 (0.88)"
"34","Oklahoma",7211,"205 (0.03)","65 (0.01)","56 (0.01)","11 (0)","6941 (0.96)"
"35","Oregon",2195,"507 (0.23)","644 (0.29)","308 (0.14)","297 (0.14)","1044 (0.48)"
"36","Pennsylvania",3810,"127 (0.03)","246 (0.06)","18 (0)","81 (0.02)","3437 (0.9)"
"37","Rhode Island",492,"89 (0.18)","22 (0.04)","15 (0.03)","0 (0)","381 (0.77)"
"38","South Carolina",5518,"264 (0.05)","52 (0.01)","107 (0.02)","18 (0)","5202 (0.94)"
"39","South Dakota",8604,"492 (0.06)","579 (0.07)","49 (0.01)","115 (0.01)","7533 (0.88)"
"40","Tennessee",1888,"119 (0.06)","54 (0.03)","37 (0.02)","9 (0)","1715 (0.91)"
"41","Texas",24370,"1552 (0.06)","108 (0)","1002 (0.04)","31 (0)","22710 (0.93)"
"42","Utah",1929,"460 (0.24)","494 (0.26)","272 (0.14)","300 (0.16)","975 (0.51)"
"43","Vermont",833,"42 (0.05)","117 (0.14)","12 (0.01)","21 (0.03)","674 (0.81)"
"44","Virginia",4266,"125 (0.03)","61 (0.01)","41 (0.01)","12 (0)","4080 (0.96)"
"45","Washington",4278,"1237 (0.29)","588 (0.14)","740 (0.17)","226 (0.05)","2453 (0.57)"
"46","West Virginia",515,"56 (0.11)","9 (0.02)","13 (0.03)","3 (0.01)","450 (0.87)"
"47","Wisconsin",10465,"1382 (0.13)","902 (0.09)","498 (0.05)","284 (0.03)","8181 (0.78)"
"48","Wyoming",5003,"1628 (0.33)","1126 (0.23)","1143 (0.23)","547 (0.11)","2249 (0.45)"
