"","patchID","n.cell","n.core.cell","n.edges.perimeter","n.edges.internal","area","core.area","perimeter","perim.area.ratio","shape.index","frac.dim.index","core.area.index","edge.area","edge.area.index"
"1",140,646,447,204,2380,581400,402300,6120,0.0105263157894737,2,1.10493719398937,0.691950464396285,179100,0.308049535603715
"2",409,1103,871,240,4172,992700,783900,7200,0.00725294650951949,1.7910447761194,1.08566659626034,0.789664551223935,208800,0.210335448776065
"3",437,1296,1074,230,4954,1166400,966600,6900,0.0059156378600823,1.59722222222222,1.06704152150008,0.828703703703704,199800,0.171296296296296
"4",444,2434,2196,244,9492,2190600,1976400,7320,0.00334155026020268,1.23232323232323,1.02907298511264,0.902218570254725,214200,0.0977814297452753
"5",448,465,359,110,1750,418500,323100,3300,0.00788530465949821,1.25,1.03757094922446,0.772043010752688,95400,0.227956989247312
"6",449,2082,1684,404,7924,1873800,1515600,12120,0.00646813960934998,2.19565217391304,1.11002590048647,0.808837656099904,358200,0.191162343900096
"7",473,2173,1914,268,8424,1955700,1722600,8040,0.00411105997852431,1.42553191489362,1.05008341155352,0.880809940174873,233100,0.119190059825127
"8",480,1143,947,202,4370,1028700,852300,6060,0.00589093030037912,1.48529411764706,1.05797068985273,0.828521434820647,176400,0.171478565179353
"9",481,1646,1175,502,6082,1481400,1057500,15060,0.0101660591332523,3.0609756097561,1.15895474053119,0.713851761846902,423900,0.286148238153098
"10",484,823,544,308,2984,740700,489600,9240,0.0124746861077359,2.6551724137931,1.14610457754962,0.660996354799514,251100,0.339003645200486
"11",487,1433,1200,234,5498,1289700,1080000,7020,0.00544312630844382,1.53947368421053,1.06187157203599,0.837404047452896,209700,0.162595952547104
"12",492,173,102,76,616,155700,91800,2280,0.0146435452793834,1.40740740740741,1.06152606733062,0.589595375722543,63900,0.410404624277457
"13",501,475,367,112,1788,427500,330300,3360,0.00785964912280702,1.27272727272727,1.03864765084491,0.772631578947368,97200,0.227368421052632
