"","patchID","n.cell","n.core.cell","n.edges.perimeter","n.edges.internal","area","core.area","perimeter","perim.area.ratio","shape.index","frac.dim.index","core.area.index","edge.area","edge.area.index"
"1",140,646,448,206,2378,581400,403200,6180,0.0106295149638803,2.01960784313725,1.10640725081956,0.693498452012384,178200,0.306501547987616
"2",290,171,62,130,554,153900,55800,3900,0.0253411306042885,2.40740740740741,1.15244538944909,0.362573099415205,98100,0.637426900584795
"3",409,1101,867,248,4156,990900,780300,7440,0.00750832576445656,1.85074626865672,1.09055926597494,0.787465940054496,210600,0.212534059945504
"4",437,1296,1075,226,4958,1166400,967500,6780,0.00581275720164609,1.56944444444444,1.06452970729793,0.829475308641975,198900,0.170524691358025
"5",444,2425,2188,242,9458,2182500,1969200,7260,0.00332646048109966,1.22222222222222,1.02820638850637,0.902268041237113,213300,0.0977319587628866
"6",446,276,140,146,958,248400,126000,4380,0.0176328502415459,2.14705882352941,1.12672056294475,0.507246376811594,122400,0.492753623188406
"7",448,466,356,116,1748,419400,320400,3480,0.00829756795422031,1.31818181818182,1.04560324098892,0.763948497854077,99000,0.236051502145923
"8",449,2091,1734,370,7994,1881900,1560600,11100,0.00589829427706042,2.01086956521739,1.09752490515355,0.829268292682927,321300,0.170731707317073
"9",453,246,172,80,904,221400,154800,2400,0.010840108401084,1.25,1.03949819807132,0.699186991869919,66600,0.300813008130081
"10",473,2172,1911,274,8414,1954800,1719900,8220,0.00420503376304481,1.45744680851064,1.05317372131334,0.879834254143646,234900,0.120165745856354
"11",480,1147,947,204,4384,1032300,852300,6120,0.00592850915431561,1.5,1.05912677239517,0.8256320836966,180000,0.1743679163034
"12",481,1646,1183,498,6086,1481400,1064700,14940,0.0100850546780073,3.03658536585366,1.15782864788077,0.718712029161604,416700,0.281287970838396
"13",484,819,549,292,2984,737100,494100,8760,0.0118844118844119,2.51724137931034,1.13862090453108,0.67032967032967,243000,0.32967032967033
"14",487,1432,1200,234,5494,1288800,1080000,7020,0.00544692737430168,1.53947368421053,1.0619242595,0.837988826815642,208800,0.162011173184358
"15",492,170,102,76,604,153000,91800,2280,0.0149019607843137,1.40740740740741,1.06308153240969,0.6,61200,0.4
"16",501,470,361,114,1766,423000,324900,3420,0.00808510638297872,1.29545454545455,1.042228490736,0.768085106382979,98100,0.231914893617021
"17",504,1262,922,358,4690,1135800,829800,10740,0.00945589012150026,2.48611111111111,1.13254280855083,0.730586370839937,306000,0.269413629160063
"18",528,1198,592,676,4116,1078200,532800,20280,0.0188091263216472,4.82857142857143,1.22830850940925,0.49415692821369,545400,0.50584307178631
"19",536,10866,9879,1030,42434,9779400,8891100,30900,0.00315970304926683,2.46411483253589,1.11236762285347,0.909166206515737,888300,0.0908337934842628
"20",541,479,332,152,1764,431100,298800,4560,0.0105775922059847,1.72727272727273,1.08505192010392,0.693110647181628,132300,0.306889352818372
"21",545,922,732,218,3470,829800,658800,6540,0.00788141720896602,1.78688524590164,1.08583618248432,0.793926247288503,171000,0.206073752711497
"22",547,415,206,242,1418,373500,185400,7260,0.0194377510040161,2.95121951219512,1.16967217243643,0.496385542168675,188100,0.503614457831325
"23",548,175,108,72,628,157500,97200,2160,0.0137142857142857,1.33333333333333,1.05147056398602,0.617142857142857,60300,0.382857142857143
"24",554,3554,2855,760,13456,3198600,2569500,22800,0.00712811855186644,3.16666666666667,1.15477263331677,0.803320202588633,629100,0.196679797411367
"25",575,18628,17406,1234,73278,16765200,15665400,37020,0.00220814544413428,2.26007326007326,1.09804873078171,0.934399828215589,1099800,0.0656001717844106
"26",577,4068,3680,400,15872,3661200,3312000,12000,0.00327761389708292,1.5625,1.05951271557629,0.904621435594887,349200,0.0953785644051131
"27",597,2875,2114,802,10698,2587500,1902600,24060,0.00929855072463768,3.71296296296296,1.17863905777917,0.735304347826087,684900,0.264695652173913
"28",602,38732,35957,2820,152108,34858800,32361300,84600,0.0024269338015078,3.57868020304569,1.14694542565064,0.928353815966126,2497500,0.0716461840338738
"29",608,953,747,218,3594,857700,672300,6540,0.00762504372158097,1.75806451612903,1.08320785355846,0.783840503672613,185400,0.216159496327387
"30",613,1622,1179,510,5978,1459800,1061100,15300,0.0104808877928483,3.14814814814815,1.16238187596188,0.726880394574599,398700,0.273119605425401
