"","lagoslakeid","iws_lakes_overlapping_area_pct","iws_streamdensity_streams_density_mperha","iws_wl_allwetlandsdissolved_overlapping_area_pct","iws_wl_connectedwetlandsundissolved_overlapping_area_pct","buffer500m_streamdensity_streams_density_mperha","shoreline_wetlands_pct"
"1",140,0,0,19.2572,2.7937,0,0.299694964710102
"2",409,0,0,10.7035,0,0,0.0734308306460698
"3",437,0,0.1758,6.7636,1.0633,0.4368,0.114770000613293
"4",444,0,5.3486,20.6222,13.223,8.7169,0.643248940588109
"5",448,0,0,4.3359,0,0,0.152149892648168
"6",449,0,5.1248,39.6937,27.9691,4.4545,0.443607795813533
"7",473,0.5006,2.497,43.1037,27.7855,5.6412,0.195027220947722
"8",480,0.1538,4.8914,19.5896,6.61,11.3749,0.100792704294826
"9",481,0,0,1.7701,0,0,0.0200797356370904
"10",484,0,0.2907,2.1146,0.6798,0.9945,0.0381863756233844
"11",487,0,3.7085,12.7129,2.3123,3.944,0.0909987300265342
"12",492,0,0,7.723,0,0,0
"13",501,0,0,0.0048,0,0,0
"14",504,0,0.0771,7.808,0,2.011,0.0262130708922093
"15",528,0,3.7918,7.6119,0.2434,4.8171,0.00527693856654159
"16",536,0,3.3666,17.7983,5.9018,5.2729,0.528799528910555
"17",541,0,0,2.3844,0,0,0.0252158777564911
"18",547,0.5765,3.7195,14.0353,5.8985,5.4379,0.252351133341555
"19",548,0,1.2469,4.0353,0,2.7886,0.0394156067695918
"20",575,0,3.2178,55.4649,43.1439,2.3063,0.426111658675505
"21",577,0,4.048,5.891,1.8027,3.1701,0.0243682145876281
"22",597,0,0,1.9287,0,0,0.00692818030229884
"23",602,0.0153,8.0682,13.6624,10.2643,7.2497,0.307175348632446
"24",608,0,5.7924,11.3446,2.1533,9.1689,0.208695500112338
"25",613,0,0.0146,5.9185,0,2.1862,0.113139570704426
"26",615,0,3.6881,29.2637,18.2548,3.8503,0.203642809399051
"27",617,0,0.0036,8.47,0,1.1365,0.0294657863277649
"28",621,0,3.1021,12.012,5.9423,1.8818,0.241946299872256
"29",622,0,6.2728,9.7456,2.8694,9.8851,0.262055420073968
"30",627,1.7757,5.5656,16.6635,8.6475,9.7716,0.231690015234345
"31",628,0,0,0.9216,0.0661,9.8139,0.10704447229078
"32",631,0,8.1726,31.0101,24.2543,10.3392,0.644647734058083
"33",643,0.2149,9.6178,24.1747,14.1742,2.3809,0.0976217772372432
"34",655,0,0.0221,13.0083,1.3612,2.546,0.549929341359203
"35",658,0,0,4.2573,0,0,0.125818215084265
"36",659,0,0.0152,6.0648,0,4.7041,0.282179613867177
"37",668,0.2765,5.2707,15.5911,8.4099,2.6264,0.210870629617336
"38",670,0,8.7361,11.0956,2.4243,5.9284,0.110672785937466
"39",671,0,0.8239,20.9209,2.5918,3.1201,0.181467073150253
"40",674,0.4191,7.0811,13.968,7.0303,6.9751,0.164996777869176
"41",683,0,0.0016,8.8865,0,3.3916,0
"42",688,0,4.5689,25.109,13.8096,4.7079,0.304592891040891
"43",690,0,7.3666,24.2612,12.1729,12.4214,0.250395070515268
"44",693,0,0.1163,17.5124,13.1967,16.011,0.75282541955845
"45",696,0,6.7509,9.9394,4.9099,2.2212,0.150650041926348
"46",697,0.3047,5.1417,12.6659,2.3952,8.491,0.0959168798091989
"47",707,0,6.7616,15.8288,7.2193,6.7571,0.522224157171153
"48",708,0,2.2474,16.7921,9.1409,2.9621,0.443500679407495
"49",714,0,0,20.8262,0,0,0.173945401293585
"50",717,0,7.0386,9.3014,2.862,6.7962,0.430900759719172
"51",731,0,0,3.7769,0,0.2277,0.0146906380541932
"52",740,0,0,12.0128,3.7675,1.6902,0.318816697073518
"53",747,0,1.2762,7.9458,0,2.1673,0
"54",752,0,0,13.1102,0,0,0.0467029992050226
"55",753,0,0,24.0816,0,0,0.54457540412901
"56",776,4.5633,3.5812,21.1316,14.2341,2.3315,0.356630393888136
"57",785,0,0.0395,11.0532,0,2.4201,0.155625203637993
"58",790,0,4.2829,13.3733,2.3956,7.6664,0.115781428509824
"59",795,0.7736,3.7443,0.7,0,4.0337,0
"60",807,0,0.4627,3.2123,0.0174,5.0821,0.00839232384655297
"61",810,0,0,17.5118,0.1841,5.5131,0.601993323858762
"62",812,0,3.5546,9.1558,3.1522,2.3298,0.00816044222924256
"63",818,0,6.4806,16.9488,8.6548,10.2208,0.187262616275899
"64",820,0.0404,7.4713,5.424,1.9229,1.9349,0.0323554440577862
"65",821,0,1.5905,28.6606,2.1926,4.5814,0.0735984359541479
"66",822,0,13.1143,2.0906,0.276,8.7872,0.1337611760498
"67",830,0.1371,3.6512,28.5339,12.4357,3.1647,0.122213097890762
"68",831,0,0,3.858,0,0.3178,0.00237437140429896
"69",832,0,0,3.3598,0,0,0.147799068837668
"70",834,0,1.3645,4.9561,2.7135,2.2215,0.0734010821646335
"71",835,0,0.1028,2.0761,0,0.3493,0.0371446158200293
"72",836,0,0,8.6865,0.0608,5.289,0
"73",840,0,0.1454,7.4101,0.0383,1.9057,0.0171981117554935
"74",845,0,7.875,16.0664,5.44,3.1772,0.0531628381266011
"75",847,0,0,10.9707,0,8.3148,0.093296626994049
"76",851,0,10.9468,13.6226,8.2314,8.4809,0.618289623785657
"77",852,0,0,5.5839,0,0,0.107827526809818
"78",854,0,0,18.0567,0,0,0
"79",864,0,3.3834,11.8782,3.0445,3.6047,0.0866142538738383
"80",867,0.2364,6.1211,1.2643,0.3206,3.8436,0.0118437831143596
"81",868,0,7.1507,10.8848,4.144,8.1196,0.378911227496108
"82",877,0,1.9539,1.9054,1.1134,6.2883,0.223445957153408
"83",887,0,1.7392,19.1116,13.327,8.3573,0.791000988946706
"84",895,0.118,3.8626,12.3818,4.1453,3.636,0.560093374020817
"85",900,0,4.7138,14.5713,3.4575,8.4815,0.349708738585035
"86",909,0,2.398,22.5952,11.0595,2.1046,0.00631143395153244
"87",912,0,0.0027,16.3816,0,1.1109,0.106808913892145
"88",914,1.8024,2.4057,20.697,0,5.7484,0.128340606227864
"89",922,0,4.3054,14.0429,0.2056,3.1999,0.499421485331486
"90",923,0,0.8965,12.1694,5.7741,4.0166,0.516256783686275
"91",934,0,1.8434,15.1418,2.1638,6.6433,0.0570946796815116
"92",937,0,3.1115,15.8511,0,4.9466,0.107758005281617
"93",938,0,3.5647,3.7087,0.9516,4.087,0.0295172873954874
"94",943,0,0,7.9618,0,0,0.0411623620690535
"95",949,0,7.1067,18.7662,7.1244,18.6351,0.161497301319423
"96",954,0,4.4217,3.118,1.177,6.0094,0.0895127515953591
"97",959,0,2.4374,22.1533,14.3321,2.8666,0.093014529568876
"98",970,0,0.0594,4.5174,0,0.4682,0.111337193839332
"99",974,0.0643,8.2464,15.4356,9.7084,3.3558,0.0556257512126171
"100",977,0,0,2.0043,0,0,0
"101",998,0,0,17.8346,0.1555,2.5857,0.701031890218945
"102",1006,0,5.5,20.4978,9.4763,9.2987,0.963355191421181
"103",1009,0,0,2.5852,0,0,0.161383088737125
"104",1025,0,0.1477,5.0447,0.0694,0.616,0.0807587930087057
"105",1026,0,0,4.2534,0,0,0
"106",1027,0,0,0,0,0,0
"107",1028,0,5.5711,4.2485,0.4819,3.6788,0.0893704383809961
"108",1030,0,0,5.508,0,0,0
"109",1037,0,0,5.1222,0,1.0173,0
"110",1038,0.0684,7.2115,15.4181,6.3384,3.6716,0.261237110386997
"111",1039,0,3.3886,31.6469,16.861,6.9508,0.469397761113031
"112",1040,0,1.333,19.9245,2.5345,1.5299,0.0812871355758124
"113",1044,0,2.3543,7.9158,0.0216,3.1982,0.238156666153152
"114",1050,0,12.5021,11.2448,6.1784,10.1629,0.152644634320243
"115",1054,0,6.6337,6.5319,2.7622,5.7097,0.052574853486678
"116",1056,0,0.7783,10.9709,3.2593,0.612,0.390775996055032
"117",1058,0.02,5.8016,11.3826,7.8036,5.0444,0.197758522904193
"118",1062,0,8.495,7.0273,4.2343,5.3508,0.0565458080696908
"119",1093,0,0,48.7622,0,0.4842,0.00627800414180671
"120",1096,0.1711,6.5633,18.8868,9.5277,4.9169,0.424550054773218
"121",1106,0,2.5181,24.4902,7.5472,1.3907,0.498836778584089
"122",1107,0.5668,2.4868,20.8625,3.9518,4.2073,0.470777841182711
"123",1109,0.0524,5.5401,8.7322,4.7867,4.5957,0.124559917001371
"124",1110,0.1934,9.6685,6.9245,1.9074,5.8404,0.0137554718015694
"125",1126,0,1.8102,16.0396,0.3292,4.5687,0.513876552090378
"126",1131,0,0,2.1933,0,0,0
"127",1135,0,8.6761,8.1542,3.1154,4.8501,0.0280693814235433
"128",1140,0,1.3803,55.3659,17.8584,2.3887,0.297829910435919
"129",1141,0,0.8414,2.6607,0.6527,1.171,0.0134043375861135
"130",1153,0.0997,3.228,40.9537,19.1376,1.7024,0.168877738356515
"131",1160,0,5.4903,9.0274,5.05,5.9433,0.322662545931391
"132",1161,0,0.1483,3.6095,0.1769,1.2836,0.0886159758997491
"133",1178,0,6.4152,16.0245,2.0711,8.4358,0.71898967273728
"134",1185,0.9074,8.5379,15.913,7.9019,6.2484,0.384925061376178
"135",1188,0.0526,7.5159,20.3389,12.406,4.9658,0.478963409560761
"136",1193,0.4059,6.742,15.9192,4.8941,5.903,0.137892579486884
"137",1207,0,11.0232,18.0036,14.4569,3.1891,0.169175862190057
"138",1208,0,3.353,14.3441,1.8738,7.8898,0
"139",1211,0,1.9055,5.5748,0,1.1084,0
"140",1213,0,9.907,35.6819,10.1704,11.8153,0.650356495314423
"141",1219,0,1.1851,46.2737,4.6102,1.676,0.24778027466993
"142",1221,0,0.0076,21.614,0,4.5071,0.257705538100048
"143",1222,0.032,9.8958,11.7139,7.5175,4.6842,0.0516224383157703
"144",1225,0,0.0211,1.2941,0,0.0625,0
"145",1226,0,10.2093,37.064,30.8706,5.5684,0.420986655809301
"146",1232,0,6.5366,38.6448,20.148,12.0164,0.155079093146909
"147",1234,0.2313,5.496,36.6252,12.61,4.762,0.157261221279382
"148",1236,0,2.1643,15.9672,2.882,4.4863,0.0230005621187145
"149",1241,0,0,9.6004,0,0,0.1233115176893
"150",1242,0.061,7.0298,7.1942,4.1534,4.6944,0.152339061231323
"151",1244,0,0.0633,3.201,0.6049,4.3885,0.124158436869491
"152",1259,0,0,0.3218,0,0,0
"153",1263,0,0.0301,13.728,0,2.4817,0.31186135192621
"154",1265,0,12.4925,24.6997,18.1782,11.3746,0.0855409011443496
"155",1269,0.0951,1.2472,63.2644,3.1299,4.1017,0.206276973236368
"156",1275,0,4.9159,16.5156,5.3451,8.0835,0.533304871385835
"157",1278,0,3.6439,37.7245,25.2434,6.4459,0.639662288291636
"158",1286,0,0,7.6764,0,1.4093,0
"159",1293,0,7.0558,8.1255,0.4211,8.4259,0.249526242920993
"160",1307,0,6.8054,6.5045,2.7519,9.309,0.303714628974989
"161",1312,0.951,4.0935,16.0833,9.4505,8.0273,0.277329217275777
"162",1316,0.2665,9.7695,23.543,8.2536,8.2111,0.325214111388737
"163",1322,0,0,2.2586,0,0,0.00358285925655096
"164",1323,0,1.7712,3.3865,0.0968,2.9383,0
"165",1327,1.1701,2.7049,11.1495,4.4263,9.1073,0.128854173215797
"166",1338,0,0.4834,12.9859,10.9288,3.9708,0.49246567637575
"167",1345,0,0,9.1878,0,0.7222,0.0301194979829561
"168",1354,0,7.9169,7.2452,0.722,13.1576,0.233401300741522
"169",1355,0,0,0,0,0,0
"170",1357,0,7.1061,29.261,14.8052,6.7286,0.127312563214179
"171",1358,0.3588,2.8337,14.6662,8.5855,5.8775,0.272307417962769
"172",1360,2.1704,4.5776,9.4347,4.9528,7.3073,0
"173",1362,0,0.904,13.2953,2.0217,1.625,0.023114733449919
"174",1366,0,0,10.5736,0,1.3475,0.175270306260162
"175",1370,0.0925,10.151,15.0227,7.6053,1.4667,0.448692587178023
"176",1388,0,0.7539,24.9448,8.4323,4.4144,0.666520201586507
"177",1389,0.7651,12.5911,29.592,18.1977,14.5637,0.489774553982301
"178",1395,0,0,2.7079,0,1.1769,0.123750414088888
"179",1400,0,2.9547,18.3256,9.0707,2.9682,0.93197674790405
"180",1406,0,3.2979,8.6182,3.9782,6.0833,0.458400843719836
"181",1408,0,0.0019,7.4659,0.0053,1.4812,0.154566637643671
"182",1414,0,4.7529,46.4936,30.7801,1.7755,0.559080211249413
"183",1415,0.3456,5.0795,21.038,2.1051,7.6362,0.881656536480965
"184",1416,0,0,0.0347,0,0,0
"185",1433,0,4.7929,6.3217,2.3215,3.8728,0.123219735076384
"186",1438,0,7.6495,8.7785,4.755,7.028,0.040435670888258
"187",1442,0.0664,12.2719,4.6285,2.2989,5.7083,0.0277671161175184
"188",1443,0,0.0099,1.7116,0,2.1343,0.129117713076845
"189",1444,0,6.372,9.1982,4.8288,9.1916,0.156178080122963
"190",1447,0.313,8.6443,21.9318,12.6182,3.2501,0.460921403575232
"191",1456,0,0,0.1064,0,0,0
"192",1457,0,0,1.5293,0,0,0.108535542972066
"193",1458,0.1221,4.9053,20.6577,5.2205,4.948,0.163506703674281
"194",1464,0.0407,6.1624,13.7872,6.5859,7.3652,0.182652750811841
"195",1467,0.029,7.4302,30.528,21.3072,10.3928,0.358399971339944
"196",1481,0,0,15.5065,4.8732,0,0.299275907872991
"197",1482,1.6991,6.1819,11.4153,3.8269,10.5911,0.113505096545215
