"","LAGOSLAKEI","OBJECTID","A_1","A_2","A_3","IWS_area_ha.x","GAP12_IWS_ha","GAP123_IWS_ha","GAP12_IWS_pct","GAP123_IWS_pct","IWS_area_ha.y","IWS_area_ha"
"1",140,92,0,0,3216600,350.1105596,0,321.66,0,0.918738356156682,350.1105596,350.1105596
"2",409,228,1292400,0,0,136.6006912,129.24,129.24,0.946115271194177,0.946115271194177,136.6006912,136.6006912
"3",437,246,0,44100,0,691.8372358,4.41,4.41,0.00637433166617656,0.00637433166617656,691.8372358,691.8372358
"4",449,254,0,0,36900,5965.080163,0,3.69,0,0.00061860023657154,5965.080163,5965.080163
"5",473,268,0,234900,0,810.6483193,23.49,23.49,0.0289768071317088,0.0289768071317088,810.6483193,810.6483193
"6",480,273,0,257400,712800,4986.332546,25.74,97.02,0.00516211058178389,0.0194571860390316,4986.332546,4986.332546
"7",492,278,0,0,1352700,515.2927929,0,135.27,0,0.262510948850494,515.2927929,515.2927929
"8",501,284,0,0,143100,1301.526987,0,14.31,0,0.0109947777825063,1301.526987,1301.526987
"9",504,287,0,0,380700,236.298289,0,38.07,0,0.16110992661483,236.298289,236.298289
"10",536,305,0,1696500,78002100,12779.63622,169.65,7969.86,0.0132750257581276,0.623637470018689,12779.63622,12779.63622
"11",541,307,0,0,3579300,450.4447363,0,357.93,0,0.794614680016187,450.4447363,450.4447363
"12",547,312,0,0,10241100,1383.609191,0,1024.11,0,0.740172880219036,1383.609191,1383.609191
"13",575,329,0,16200,5486400,5379.748075,1.62,550.26,0.000301129342380963,0.102283599962067,5379.748075,5379.748075
"14",597,343,0,34200,0,496.9084076,3.42,3.42,0.00688255611636385,0.00688255611636385,496.9084076,496.9084076
"15",602,347,0,5662800,7743600,27490.0456,566.28,1340.64,0.0205994565538298,0.0487681984783612,27490.0456,27490.0456
"16",608,350,0,155700,0,2234.17031,15.57,15.57,0.00696903003782196,0.00696903003782196,2234.17031,2234.17031
"17",615,353,0,0,54000,1073.309092,0,5.4,0,0.0050311695300537,1073.309092,1073.309092
"18",621,357,0,1217700,0,1960.744923,121.77,121.77,0.0621039476229719,0.0621039476229719,1960.744923,1960.744923
"19",627,359,0,486900,0,1607.296792,48.69,48.69,0.0302930984758663,0.0302930984758663,1607.296792,1607.296792
"20",631,360,424800,102600,4602600,1070.915003,52.74,513,0.0492476058811924,0.479029613520131,1070.915003,1070.915003
"21",643,367,2504700,207452700,0,27074.46359,20995.74,20995.74,0.775481291816057,0.775481291816057,27074.46359,27074.46359
"22",658,373,0,104400,0,263.8548087,10.44,10.44,0.0395672152099004,0.0395672152099004,263.8548087,263.8548087
"23",659,374,269100,607500,32400,384.8788413,87.66,90.9,0.227759987283042,0.236178220899253,384.8788413,384.8788413
"24",668,377,0,12600,0,2273.946429,1.26,1.26,0.000554102763341748,0.000554102763341748,2273.946429,2273.946429
"25",670,379,0,154800,0,2330.102133,15.48,15.48,0.00664348561411321,0.00664348561411321,2330.102133,2330.102133
"26",674,381,0,74700,0,1040.300295,7.47,7.47,0.00718061893849602,0.00718061893849602,1040.300295,1040.300295
"27",683,385,0,446400,36000,324.4301531,44.64,48.24,0.137595101976358,0.148691481168,324.4301531,324.4301531
"28",688,387,0,6535800,65380500,10186.57945,653.58,7191.63,0.0641608896497636,0.705990665001882,10186.57945,10186.57945
"29",696,391,0,0,6300,906.0092857,0,0.63,0,0.000695357111614204,906.0092857,906.0092857
"30",697,392,0,0,3349800,1941.744744,0,334.98,0,0.172514951326682,1941.744744,1941.744744
"31",708,398,0,0,170100,817.9354681,0,17.01,0,0.0207962616409249,817.9354681,817.9354681
"32",714,403,0,1471500,150300,238.8206406,147.15,162.18,0.616152773187059,0.679087031977419,238.8206406,238.8206406
"33",731,411,0,854100,0,87.688772,85.41,85.41,0.974012955729383,0.974012955729383,87.688772,87.688772
"34",752,419,0,272700,0,292.0221721,27.27,27.27,0.0933833201907069,0.0933833201907069,292.0221721,292.0221721
"35",753,420,0,300600,0,44.25519439,30.06,30.06,0.679242299448411,0.679242299448411,44.25519439,44.25519439
"36",776,433,0,0,721800,201.5499035,0,72.18,0,0.358124706321182,201.5499035,201.5499035
"37",790,441,0,844200,0,334.4555437,84.42,84.42,0.252410227876872,0.252410227876872,334.4555437,334.4555437
"38",807,451,0,0,776700,96.48491763,0,77.67,0,0.804996282401863,96.48491763,96.48491763
"39",812,454,0,1975500,0,5803.230236,197.55,197.55,0.0340413859120236,0.0340413859120236,5803.230236,5803.230236
"40",818,458,0,0,15535800,1949.249862,0,1553.58,0,0.7970142926705,1949.249862,1949.249862
"41",820,460,0,765000,0,16958.80437,76.5,76.5,0.00451093121489908,0.00451093121489908,16958.80437,16958.80437
"42",830,464,0,46486800,0,5641.11157,4648.68,4648.68,0.824071628847433,0.824071628847433,5641.11157,5641.11157
"43",831,465,0,34200,0,1024.451384,3.42,3.42,0.00333837217989448,0.00333837217989448,1024.451384,1024.451384
"44",834,467,0,0,1071900,616.7926631,0,107.19,0,0.173786113896464,616.7926631,616.7926631
"45",835,468,0,0,4587300,1793.21522,0,458.73,0,0.255814246323428,1793.21522,1793.21522
"46",840,470,0,148500,0,35.37225875,14.85,14.85,0.419820518247227,0.419820518247227,35.37225875,35.37225875
"47",845,474,0,34200,0,2896.985803,3.42,3.42,0.00118053736972352,0.00118053736972352,2896.985803,2896.985803
"48",854,477,0,20700,0,266.3659006,2.07,2.07,0.0077712649980243,0.0077712649980243,266.3659006,266.3659006
"49",864,483,0,7700400,0,815.2959536,770.04,770.04,0.9444913796025,0.9444913796025,815.2959536,815.2959536
"50",867,485,0,122400,0,3992.549267,12.24,12.24,0.00306571044749991,0.00306571044749991,3992.549267,3992.549267
"51",877,493,0,0,23930100,2707.350646,0,2393.01,0,0.883893633628719,2707.350646,2707.350646
"52",887,500,0,1734300,0,200.192128,173.43,173.43,0.866317780487353,0.866317780487353,200.192128,200.192128
"53",895,506,0,101700,0,6507.260282,10.17,10.17,0.00156286971156381,0.00156286971156381,6507.260282,6507.260282
"54",909,513,0,537300,0,978.3345966,53.73,53.73,0.0549198609419799,0.0549198609419799,978.3345966,978.3345966
"55",914,515,0,0,2041200,390.6007957,0,204.12,0,0.522579580602734,390.6007957,390.6007957
