"","Protection","min","p5th","median","p95th","max","mean","sd","varname"
"1","Strict center",0.01,0.013,0.044,0.668,980.562,0.33887715470216,7.01389409268621,"AREASQKM"
"2","Strict cat",0.01,0.012,0.037,0.36825,53.177,0.159418794941731,1.17249764858373,"AREASQKM"
"3","Multi-use center",0.01,0.013,0.04,0.65475,944.031,0.477819542053956,8.30070008418294,"AREASQKM"
"4","Multi-use cat",0.01,0.012,0.033,0.303,26.817,0.102935953000096,0.508435596671874,"AREASQKM"
"5","Unprotected",0.01,0.012,0.033,0.366,57516.647,0.699287436958926,131.465562826857,"AREASQKM"
"6","Strict center",1,7.60000000000001,560,3261.05,5152,1143.8504048583,1146.09403491422,"ELEVATION"
"7","Strict cat",1,1,522,2435.3,3385,921.032258064516,915.397951045568,"ELEVATION"
"8","Multi-use center",2,14,598,2900.1,6908,1084.15953565506,1097.6559598831,"ELEVATION"
"9","Multi-use cat",5,19.1,1843,3151.3,6633,1692.33902439024,1253.13792763515,"ELEVATION"
"10","Unprotected",1,12,238,1809,6769,422.05316020025,576.243970007206,"ELEVATION"
"11","Strict center",0.0018,0.0576,0.5292,7.4367,4585.7502,2.8283099092921,35.1473285145177,"CatAreaSqKm"
"12","Strict cat",0.0018,0.0405,0.2961,3.467925,702.6057,1.31545845524423,10.6462039715012,"CatAreaSqKm"
"13","Multi-use center",9e-04,0.0702,0.57105,8.612325,20188.4814,3.83324904783496,126.471421329936,"CatAreaSqKm"
"14","Multi-use cat",9e-04,0.063,0.423,3.75534,134.1171,1.07813386304536,3.09780339222,"CatAreaSqKm"
"15","Unprotected",9e-04,0.0585,0.4365,6.24091500000003,58658.6259,2.5373114650476,118.664660166359,"CatAreaSqKm"
"16","Strict center",0.0027,0.0639,1.0026,68.58,1281814.1892,457.559555204015,12729.7621983608,"WsAreaSqKm"
"17","Strict cat",0.0036,0.0441,0.5193,35.7093,255830.1219,282.474653632532,6249.12015099172,"WsAreaSqKm"
"18","Multi-use center",9e-04,0.0801,1.2519,81.627975,441878.3883,233.792466753571,5966.3805017476,"WsAreaSqKm"
"19","Multi-use cat",9e-04,0.0693,0.8127,31.43853,441372.2841,88.8826458826929,4539.10237447772,"WsAreaSqKm"
"20","Unprotected",9e-04,0.063,0.774,40.873905,3130511.6295,311.064569555206,21575.8953293404,"WsAreaSqKm"
"21","Strict center",0,0,3.78912685337726,83.6769036600757,100.000000000036,23.0663590344966,29.9506104673814,"PctTotalForest2011Cat"
"22","Strict cat",0,0,0,81.9990215264188,100,17.0796408368998,28.1671547733482,"PctTotalForest2011Cat"
"23","Multi-use center",0,0,23.2993109831345,88.5781328565841,100,32.4998126619085,33.1230778826657,"PctTotalForest2011Cat"
"24","Multi-use cat",0,0,34.8,90.846600049641,100,36.8897833701181,34.0591018391309,"PctTotalForest2011Cat"
"25","Unprotected",0,0,2.38446929732011,75.2863878314946,100,18.0915034430636,25.6893945092469,"PctTotalForest2011Cat"
"26","Strict center",0,0,0,70.1142513529766,100,11.454762008365,23.1698160466061,"PctTotalAg2011Cat"
"27","Strict cat",0,0,0,57.7711397058824,100,6.64249499621361,19.0624857129409,"PctTotalAg2011Cat"
"28","Multi-use center",0,0,0,50.6671440555427,100,6.36548598543776,17.2469640330921,"PctTotalAg2011Cat"
"29","Multi-use cat",0,0,0,4.29649965682909,100,1.56566696045485,8.93421515065311,"PctTotalAg2011Cat"
"30","Unprotected",0,0,15.210355987055,88.7016654231566,100,28.8244265924996,31.8011709603244,"PctTotalAg2011Cat"
"31","Strict center",0,0,8.06845965770171,94.3755958055291,100,23.6283178087386,30.9831819985893,"PctTotalWetland2011Cat"
"32","Strict cat",0,0,25,100,100,37.5641550771974,37.0367311847671,"PctTotalWetland2011Cat"
"33","Multi-use center",0,0,2.65555862831858,73.9616863376252,100,14.2009255851585,23.6867297403833,"PctTotalWetland2011Cat"
"34","Multi-use cat",0,0,1.61812297734628,86.8892079765962,100,15.5545037044809,26.1378204494206,"PctTotalWetland2011Cat"
"35","Unprotected",0,0,1.97044334975369,51.5087184022952,100,10.0984489203088,18.5957726599162,"PctTotalWetland2011Cat"
"36","Strict center",0,0,0.366740019736635,3.42376428600744,21.0290116053763,0.942196437280552,1.50086922557111,"RdDensCat"
"37","Strict cat",0,0,0.295836951332805,3.15304932102132,19.2952709197917,0.864535927243575,1.32751339967237,"RdDensCat"
"38","Multi-use center",0,0,0.801133049294538,3.67818975334423,17.7453064777941,1.17783185824641,1.61160619348907,"RdDensCat"
"39","Multi-use cat",0,0,0.43138996149581,2.53150090140806,14.2726764678873,0.759448227907099,1.0067083810196,"RdDensCat"
"40","Unprotected",0,0,1.46660695244499,6.35078276973842,27.8986601148413,2.02228776803809,2.12596729612128,"RdDensCat"
"41","Strict center",0,0,0,3.13725490196078,89.8871866295265,0.867651374015657,4.10860096722543,"PctImp2011Cat"
"42","Strict cat",0,0,0,2.03562843406593,67.28125,0.593832115970381,3.35445461068392,"PctImp2011Cat"
"43","Multi-use center",0,0,0.0422130832059931,3.24338217631516,66.6292749658003,0.956385713342253,4.29375974179832,"PctImp2011Cat"
"44","Multi-use cat",0,0,0,0.861029411764706,66.6292749658003,0.23255418238587,1.42433040721116,"PctImp2011Cat"
"45","Unprotected",0,0,0.238875878220141,16.0050557395283,95.9032258064516,2.59979709633618,7.58385687283492,"PctImp2011Cat"
